# spanwise profile label=P2 x=35 z=0.425244 t=38 n=97
# y(m) U_x U_y U_z alpha valid
 0  0.0999376252  1.64340508e-06 -0.127120554  1 1
 0.00520833349  0.0999376252  1.64340508e-06 -0.127120554  1 1
 0.010416667  0.0999373198  4.98039844e-06 -0.127120391  1 1
 0.015625  0.0999367237  8.25013649e-06 -0.127120078  1 1
 0.020833334  0.0999357849  1.15326857e-05 -0.12711966  1 1
 0.026041666  0.099934563  1.47279343e-05 -0.127119169  1 1
 0.03125  0.099934563  1.47279343e-05 -0.127119169  1 1
 0.0364583321  0.0999330729  1.79325616e-05 -0.127118394  1 1
 0.0416666679  0.099931255  2.10454182e-05 -0.12711738  1 1
 0.046875  0.0999291539  2.41670205e-05 -0.127116412  1 1
 0.0520833321  0.0999268368  2.72098114e-05 -0.127115369  1 1
 0.0572916679  0.0999242589  3.03135275e-05 -0.12711446  1 1
 0.0625  0.0999242589  3.03135275e-05 -0.12711446  1 1
 0.0677083358  0.0999214426  3.33894895e-05 -0.127113417  1 1
 0.0729166642  0.0999183878  3.65691667e-05 -0.127112389  1 1
 0.078125  0.099915199  3.97820913e-05 -0.127111331  1 1
 0.0833333358  0.0999119207  4.31828703e-05 -0.127110168  1 1
 0.0885416642  0.0999083295  4.67137179e-05 -0.127108753  1 1
 0.09375  0.099904567  5.05147946e-05 -0.127107456  1 1
 0.0989583358  0.099904567  5.05147946e-05 -0.127107456  1 1
 0.104166664  0.0999005884  5.45273579e-05 -0.12710613  1 1
 0.109375  0.0998966098  5.88683797e-05 -0.127104715  1 1
 0.114583336  0.0998924598  6.34743265e-05 -0.12710306  1 1
 0.119791664  0.0998881981  6.84672559e-05 -0.127101332  1 1
 0.125  0.0998881981  6.84672559e-05 -0.127101332  1 1
 0.130208328  0.0998838469  7.37462178e-05 -0.127099141  1 1
 0.135416672  0.0998793989  7.93931686e-05 -0.127096444  1 1
 0.140625  0.0998748839  8.53305464e-05 -0.127093375  1 1
 0.145833328  0.0998703763  9.16031131e-05 -0.127090126  1 1
 0.151041672  0.0998658389  9.81401172e-05 -0.127086326  1 1
 0.15625  0.0998658389  9.81401172e-05 -0.127086326  1 1
 0.161458328  0.0998613313  0.000104927924 -0.12708208  1 1
 0.166666672  0.0998569876  0.00011182591 -0.127077192  1 1
 0.171875  0.0998532251  0.000118936689 -0.127072006  1 1
 0.177083328  0.0998489484  0.00012612484 -0.127065942  1 1
 0.182291672  0.099844113  0.000133300389 -0.127059057  1 1
 0.1875  0.099844113  0.000133300389 -0.127059057  1 1
 0.192708328  0.0998387039  0.000140066972 -0.127051249  1 1
 0.197916672  0.0998332947  0.000146335398 -0.127042785  1 1
 0.203125  0.099828355  0.000152317429 -0.127034009  1 1
 0.208333328  0.0998235866  0.000157839531 -0.127024993  1 1
 0.213541672  0.0998189002  0.000162915298 -0.127015531  1 1
 0.21875  0.0998189002  0.000162915298 -0.127015531  1 1
 0.223958328  0.0998142958  0.000167464386 -0.127005786  1 1
 0.229166672  0.0998098329  0.000171476931 -0.126995847  1 1
 0.234375  0.0998054892  0.000174943343 -0.126985639  1 1
 0.239583328  0.0998011678  0.000177866343 -0.126975253  1 1
 0.244791672  0.0997969434  0.000180300645 -0.126964957  1 1
 0.25  0.0997969434  0.000180300645 -0.126964957  1 1
 0.255208343  0.0997929797  0.000182246746 -0.126954824  1 1
 0.260416657  0.0997892618  0.00018379229 -0.126944974  1 1
 0.265625  0.0997856706  0.000184933786 -0.126935318  1 1
 0.270833343  0.099782221  0.000185767916 -0.126925975  1 1
 0.276041657  0.0997790024  0.000186308433 -0.1269169  1 1
 0.28125  0.0997790024  0.000186308433 -0.1269169  1 1
 0.286458343  0.0997760221  0.000186653939 -0.126908004  1 1
 0.291666657  0.099773176  0.000186838806 -0.126899257  1 1
 0.296875  0.0997705683  0.00018694505 -0.126890898  1 1
 0.302083343  0.0997682586  0.000187003359 -0.126882806  1 1
 0.307291657  0.099766247  0.000187104102 -0.126874939  1 1
 0.3125  0.099766247  0.000187104102 -0.126874939  1 1
 0.317708343  0.0997644514  0.000187226266 -0.126867145  1 1
 0.322916657  0.0997628421  0.000187424215 -0.126859426  1 1
 0.328125  0.0997614413  0.000187658108 -0.126851648  1 1
 0.333333343  0.0997603014  0.000187940095 -0.126843646  1 1
 0.338541657  0.0997594148  0.000188197591 -0.126835302  1 1
 0.34375  0.0997594148  0.000188197591 -0.126835302  1 1
 0.348958343  0.0997587889  0.000188440055 -0.126826838  1 1
 0.354166657  0.0997584835  0.000188542646 -0.126818046  1 1
 0.359375  0.0997585878  0.000188457736 -0.126808971  1 1
 0.364583343  0.0997589752  0.000188041973 -0.126799449  1 1
 0.369791657  0.0997597277  0.000187274389 -0.126789629  1 1
 0.375  0.0997597277  0.000187274389 -0.126789629  1 1
 0.380208343  0.0997607484  0.000186014251 -0.126779333  1 1
 0.385416657  0.0997620299  0.000184150354 -0.126768664  1 1
 0.390625  0.0997634307  0.00018167893 -0.126757711  1 1
 0.395833343  0.099764809  0.000178539354 -0.126746595  1 1
 0.401041657  0.0997661278  0.000174644316 -0.126735106  1 1
 0.40625  0.0997661278  0.000174644316 -0.126735106  1 1
 0.411458343  0.0997672826  0.000169930601 -0.126723245  1 1
 0.416666657  0.0997682139  0.000164262136 -0.126711071  1 1
 0.421875  0.0997694656  0.000157480987 -0.126699328  1 1
 0.427083343  0.0997709483  0.000149597254 -0.126688078  1 1
 0.432291657  0.099772498  0.000140661359 -0.126677155  1 1
 0.4375  0.099772498  0.000140661359 -0.126677155  1 1
 0.442708343  0.0997739434  0.000130691944 -0.126666635  1 1
 0.447916657  0.0997753367  0.000119770528 -0.12665686  1 1
 0.453125  0.099776715  0.000107940359 -0.126647949  1 1
 0.458333343  0.0997780263  9.53147392e-05 -0.126639947  1 1
 0.463541657  0.0997791663  8.19423949e-05 -0.126632914  1 1
 0.46875  0.0997791663  8.19423949e-05 -0.126632914  1 1
 0.473958343  0.0997800678  6.79520381e-05 -0.126626894  1 1
 0.479166657  0.0997808427  5.33989733e-05 -0.126622081  1 1
 0.484375  0.099781476  3.84614905e-05 -0.126618326  1 1
 0.489583343  0.0997818261  2.31968734e-05 -0.126615673  1 1
 0.494791657  0.0997820199  7.76344405e-06 -0.126614407  1 1
 0.5  0.0997820199  7.76344405e-06 -0.126614407  1 1
