# spanwise profile label=P2 x=35 z=0.431445 t=36.4 n=97
# y(m) U_x U_y U_z alpha valid
 0  0.148944065 -2.88663068e-06 -0.106402382  1 1
 0.00520833349  0.148944065 -2.88663068e-06 -0.106402382  1 1
 0.010416667  0.148944065 -8.60534419e-06 -0.106403105  1 1
 0.015625  0.148944005 -1.42382396e-05 -0.106404558  1 1
 0.020833334  0.148943856 -1.97430381e-05 -0.106406726  1 1
 0.026041666  0.148943648 -2.50695794e-05 -0.106409661  1 1
 0.03125  0.148943648 -2.50695794e-05 -0.106409661  1 1
 0.0364583321  0.148943424 -3.01197288e-05 -0.106413119  1 1
 0.0416666679  0.148943081 -3.48722861e-05 -0.106417127  1 1
 0.046875  0.148942709 -3.9248971e-05 -0.106421806  1 1
 0.0520833321  0.148942396 -4.32404086e-05 -0.106427096  1 1
 0.0572916679  0.148941949 -4.67203354e-05 -0.106433012  1 1
 0.0625  0.148941949 -4.67203354e-05 -0.106433012  1 1
 0.0677083358  0.148941457 -4.96995563e-05 -0.106439345  1 1
 0.0729166642  0.148940936 -5.21236689e-05 -0.106446065  1 1
 0.078125  0.148940444 -5.40021101e-05 -0.106453195  1 1
 0.0833333358  0.148939982 -5.52250895e-05 -0.106460519  1 1
 0.0885416642  0.148939386 -5.58365282e-05 -0.106467918  1 1
 0.09375  0.148939386 -5.58365282e-05 -0.106467918  1 1
 0.0989583358  0.148938775 -5.57123676e-05 -0.10647554  1 1
 0.104166664  0.148938015 -5.49117976e-05 -0.10648337  1 1
 0.109375  0.148937359 -5.33398779e-05 -0.106491163  1 1
 0.114583336  0.148936585 -5.10490245e-05 -0.106498897  1 1
 0.119791664  0.14893572 -4.80208982e-05 -0.106506549  1 1
 0.125  0.14893572 -4.80208982e-05 -0.106506549  1 1
 0.130208328  0.148934871 -4.44163998e-05 -0.106513813  1 1
 0.135416672  0.148934036 -4.00449717e-05 -0.106520571  1 1
 0.140625  0.148933008 -3.50304508e-05 -0.10652706  1 1
 0.145833328  0.148931995 -2.94533893e-05 -0.106533289  1 1
 0.151041672  0.148930982 -2.32951843e-05 -0.106539048  1 1
 0.15625  0.148930982 -2.32951843e-05 -0.106539048  1 1
 0.161458328  0.148929968 -1.66135633e-05 -0.106544219  1 1
 0.166666672  0.14892903 -9.51793118e-06 -0.106548801  1 1
 0.171875  0.148928583 -1.99065039e-06 -0.106553003  1 1
 0.177083328  0.148927987  5.77271067e-06 -0.106556445  1 1
 0.182291672  0.148926929  1.40435977e-05 -0.106558926  1 1
 0.1875  0.148926929  1.40435977e-05 -0.106558926  1 1
 0.192708328  0.148924738  2.23322677e-05 -0.106560126  1 1
 0.197916672  0.148922488  3.04919013e-05 -0.106560536  1 1
 0.203125  0.148920745  3.88159533e-05 -0.106560551  1 1
 0.208333328  0.14891912  4.70833947e-05 -0.106560044  1 1
 0.213541672  0.148917571  5.53394275e-05 -0.106558844  1 1
 0.21875  0.148917571  5.53394275e-05 -0.106558844  1 1
 0.223958328  0.14891611  6.34690296e-05 -0.106557071  1 1
 0.229166672  0.148914784  7.14664493e-05 -0.106554747  1 1
 0.234375  0.148913547  7.9307516e-05 -0.106551759  1 1
 0.239583328  0.148912206  8.69703872e-05 -0.106548145  1 1
 0.244791672  0.148910984  9.44886197e-05 -0.1065441  1 1
 0.25  0.148910984  9.44886197e-05 -0.1065441  1 1
 0.255208343  0.148910061  0.000101846963 -0.106539629  1 1
 0.260416657  0.14890936  0.000109024542 -0.106534839  1 1
