# X (m) TKE_avg epsilon_turb_pw_avg_Y_avg epsilon_pw_avg_Y_avg
 34.05  2.11022566e-05  3.57287145e-05  1.40139432e-05
 34.1  1.81064265e-05  2.53537123e-06  7.57691775e-06
 34.15  1.76475329e-05  4.83651391e-06  1.20095406e-05
 34.2  1.82442091e-05  3.24829899e-06  1.05916224e-05
 34.25  2.1334184e-05  3.61036094e-06  8.88981516e-06
 34.3  2.55220281e-05  3.25022182e-06  9.7093607e-06
 34.35  3.40782481e-05  1.04905876e-05  2.09832017e-05
 34.4  3.5410834e-05  2.89705343e-06  1.5471349e-05
 34.45  4.11927722e-05  1.03717666e-05  2.38498498e-05
 34.5  4.62455196e-05  8.46436025e-06  2.25871029e-05
 34.55  4.23352847e-05  9.46705213e-06  2.42691776e-05
 34.6  4.44448672e-05  7.35417444e-06  2.28420176e-05
 34.65  5.3440041e-05  5.06531902e-06  2.40863358e-05
 34.7  5.74395118e-05  2.28165901e-06  2.38814822e-05
 34.75  6.02822641e-05  2.13743335e-06  2.46896119e-05
 34.8  6.37101324e-05  5.64373325e-06  3.66807667e-05
 34.85  6.79775034e-05  8.35965147e-06  4.27920592e-05
 34.9  7.53694798e-05  8.80114974e-06  4.32689736e-05
 34.95  7.21238867e-05  6.22950707e-06  3.85068449e-05
 35  7.677193e-05  4.76905539e-06  3.94041217e-05
 35.05  7.35265473e-05  3.24098655e-06  4.23836643e-05
 35.1  7.17319913e-05  6.95518697e-06  4.31513736e-05
 35.15  7.02454701e-05  4.1000339e-06  4.20906738e-05
 35.2  8.22888981e-05  5.35385535e-06  4.5192671e-05
 35.25  6.14222819e-05  2.27790251e-06  4.00573087e-05
 35.3  5.22385969e-05  4.21831439e-06  3.82188281e-05
 35.35  6.38279802e-05  2.7922538e-06  3.1992678e-05
 35.4  5.94047644e-05  2.20672669e-06  2.89872995e-05
 35.45  6.29048218e-05  2.15832258e-06  2.73995814e-05
 35.5  5.37407568e-05  2.74365182e-06  2.62552064e-05
 35.55  6.24681493e-05  2.55019525e-06  2.436979e-05
 35.6  5.13099256e-05  2.76694901e-06  2.34344019e-05
 35.65  4.55498894e-05  2.45563817e-06  1.99583491e-05
 35.7  4.67197118e-05  1.83339564e-06  1.66717827e-05
 35.75  5.02741328e-05  2.26988182e-06  1.41871099e-05
 35.8  4.28104681e-05  2.1140372e-06  1.38129267e-05
 35.85  4.53588025e-05  1.41538591e-06  1.13829121e-05
 35.9  4.20309617e-05  2.03339001e-06  1.11098601e-05
 35.95  4.20753229e-05  1.46901537e-06  9.084922e-06
 36  4.35544469e-05  2.82252716e-06  7.73382662e-06
 36.05  3.89737834e-05  8.39569956e-06  1.31574418e-05
 36.1  3.8247669e-05  4.75448824e-06  9.55805579e-06
 36.15  3.66209677e-05  9.13449796e-07  6.67366708e-06
 36.2  3.75367735e-05  7.20307399e-06  1.38633851e-05
 36.25  3.62388687e-05  3.21706025e-06  1.12330177e-05
 36.3  3.67512028e-05  4.74484027e-06  1.42315175e-05
 36.35  4.12084232e-05  1.07267464e-05  2.17626276e-05
 36.4  4.06244476e-05  5.61764765e-06  1.52606395e-05
 36.45  4.04780203e-05  5.85703926e-06  1.50315644e-05
 36.5  4.10299525e-05  5.04614162e-06  1.51815654e-05
 36.55  3.84617472e-05  4.40572844e-06  1.24520267e-05
 36.6  3.71488324e-05  1.69380959e-06  9.93766113e-06
 36.65  3.48848914e-05  3.37578005e-06  9.86915047e-06
 36.7  2.99098554e-05  1.86188072e-06  9.44486423e-06
 36.75  2.64967701e-05  1.92264396e-06  9.96381588e-06
 36.8  2.44435958e-05  9.27730366e-07  7.48348387e-06
 36.85  2.43980492e-05  2.00622076e-06  1.05483851e-05
 36.9  2.3765402e-05  1.25415603e-06  8.9151676e-06
 36.95  2.42747759e-05  1.12934601e-06  1.0325183e-05
 37  2.73655667e-05  5.04546902e-06  1.21057246e-05
 37.05  2.8331894e-05  5.71347039e-06  1.55824093e-05
 37.1  2.73066097e-05  6.56839022e-06  1.84632863e-05
 37.15  2.62252639e-05  6.51581121e-06  1.77929537e-05
 37.2  2.61959995e-05  2.95647166e-06  1.0151707e-05
 37.25  2.7338074e-05  4.07668597e-06  1.10153521e-05
 37.3  2.90315447e-05  4.01770838e-06  1.14885871e-05
 37.35  2.57388372e-05  2.39835729e-05  3.42879713e-05
 37.4  2.42842139e-05  1.68040419e-05  2.79867533e-05
 37.45  2.33841522e-05  1.14197665e-05  3.52387925e-05
 37.5  2.75655219e-05  4.01029096e-05  5.63726444e-05
 37.55  2.85282452e-05  1.901291e-05  4.29304553e-05
 37.6  3.09315695e-05  3.83046428e-06  3.01257287e-05
 37.65  3.50646916e-05  3.50529701e-05  6.41476116e-05
 37.7  2.85519505e-05  1.74918242e-05  4.73729685e-05
 37.75  2.44686769e-05  3.88879763e-05  7.40703977e-05
 37.8  2.96193337e-05  2.15875561e-05  6.14935263e-05
 37.85  4.0449389e-05  1.91485738e-05  6.1769165e-05
 37.9  4.34316691e-05  1.00461191e-05  4.65155121e-05
 37.95  5.05327103e-05  9.06013381e-06  3.47984607e-05
 38  4.65107571e-05  1.12306375e-05  3.76066234e-05
 38.05  3.38037956e-05  9.53220082e-06  3.7318004e-05
 38.1  2.56559353e-05  6.93086381e-06  3.16704346e-05
 38.15  2.86837264e-05  3.87085915e-06  2.17168893e-05
 38.2  2.60502679e-05  1.706265e-06  1.13200714e-05
 38.25  1.82119563e-05  1.25946816e-06  8.83041684e-06
 38.3  1.99410062e-05  1.7540411e-06  1.03795069e-05
 38.35  2.12789553e-05  1.86339916e-06  1.05819115e-05
 38.4  2.05666612e-05  2.99484982e-06  1.31472277e-05
 38.45  1.94317301e-05  2.04911277e-06  1.21251757e-05
 38.5  1.67071278e-05  3.56324839e-06  1.3731047e-05
 38.55  1.79795033e-05  3.99163753e-06  1.70943537e-05
 38.6  1.45896033e-05  1.60382296e-06  1.46076443e-05
 38.65  1.43234994e-05  2.37560784e-06  1.62145524e-05
 38.7  1.53131526e-05  4.54054836e-06  1.81705564e-05
 38.75  1.55017099e-05  5.16992564e-06  2.01341412e-05
 38.8  1.50827244e-05  3.56960657e-06  1.95592944e-05
 38.85  1.21156268e-05  3.44129904e-06  1.88136867e-05
 38.9  2.02800788e-05  2.29449503e-05  3.5076665e-05
 38.95  1.29407153e-05  1.13783449e-05  2.50810985e-05
 39  1.68965748e-05  2.41675152e-05  3.9982186e-05
 39.05  1.59196569e-05  2.80257023e-05  3.98857587e-05
 39.1  1.54074836e-05  1.15430685e-05  3.07045257e-05
 39.15  1.65684941e-05  3.07068487e-06  2.65529423e-05
 39.2  3.73085946e-05  6.99388345e-06  3.234653e-05
 39.25  2.06259917e-05  3.55842776e-05  5.65075807e-05
 39.3  9.53291708e-06  2.64728494e-06  2.25726657e-05
 39.35  8.24848432e-06  4.2917658e-06  2.52410296e-05
 39.4  7.22713836e-06  7.95106541e-06  2.88147448e-05
 39.45  5.98589532e-06  1.74105875e-05  3.19987168e-05
 39.5  1.08230265e-05  2.27956572e-05  3.74403233e-05
 39.55  9.66330944e-06  5.64142684e-06  2.95011787e-05
 39.6  5.27565447e-06  4.50668882e-06  1.49199074e-05
 39.65  3.55449651e-06  8.46397805e-06  1.16310672e-05
 39.7  2.99032613e-06  9.26914663e-06  1.19817536e-05
 39.75  2.93344745e-06  5.78822638e-06  8.32533107e-06
 39.8  3.31203667e-06  3.55134514e-06  6.08779918e-06
 39.85  9.09403164e-06  2.23208088e-05  2.81505183e-05
 39.9  6.75550288e-06  1.84314918e-05  2.89325854e-05
 39.95  4.96512837e-06  1.38816883e-05  1.94044732e-05
 40  4.51243074e-06  4.93826281e-06  1.5091964e-05
 40.05  3.57742907e-06  4.17123154e-06  5.11658412e-06
 40.1  3.84673123e-06  4.9660059e-06  7.08963726e-06
 40.15  2.94812705e-06  2.99067688e-06  4.99313758e-06
 40.2  2.84434816e-06  1.42345272e-06  3.87278081e-06
 40.25  2.55452361e-06  9.94773662e-07  2.86108436e-06
 40.3  1.66732535e-06  1.37267668e-07  9.51254157e-07
 40.35  1.33214468e-06  1.23289754e-07  7.4534548e-07
 40.4  1.8345702e-06  2.61733252e-07  2.66383059e-06
 40.45  2.7004974e-06  6.22575954e-07  4.27400436e-06
 40.5  3.59646861e-06  4.19233232e-07  3.66725932e-06
 40.55  5.04058094e-06  3.86708455e-07  3.90183746e-06
 40.6  5.00617323e-06  3.48796267e-07  4.55556909e-06
 40.65  6.0297785e-06  6.26583532e-07  6.39754859e-06
 40.7  8.68258579e-06  1.03384576e-06  7.7877773e-06
 40.75  1.26408109e-05  1.30172042e-06  8.43281557e-06
 40.8  1.1596928e-05  1.65163706e-06  9.12458151e-06
 40.85  1.22293719e-05  1.93490738e-06  9.8380867e-06
 40.9  1.32380046e-05  2.06152771e-06  1.0026816e-05
 40.95  1.14857069e-05  1.36479612e-06  7.57326148e-06
 41  9.80901194e-06  1.7492139e-06  6.81334455e-06
 41.05  7.96352883e-06  5.62179427e-06  1.0817894e-05
 41.1  5.83182326e-06  2.7967442e-06  7.43943167e-06
 41.15  4.3854514e-06  4.03606691e-07  4.75811466e-06
 41.2  4.17364957e-06  1.92183032e-06  7.505225e-06
 41.25  3.91295642e-06  1.27248195e-06  5.60459945e-06
 41.3  6.60930922e-06  1.83735417e-05  2.40477761e-05
 41.35  6.16597739e-06  1.62884115e-05  2.05014952e-05
 41.4  7.28671307e-06  1.39115024e-05  1.78577675e-05
 41.45  5.28343025e-06  5.71753296e-06  9.4657355e-06
 41.5  3.91630989e-06  2.45749717e-06  6.94642408e-06
 41.55  3.74158271e-06  5.07651042e-06  1.08567193e-05
 41.6  2.51959418e-06  1.24187603e-06  5.63552085e-06
 41.65  2.2414739e-06  8.58703569e-07  4.54676406e-06
 41.7  1.85732819e-06  3.58772078e-07  3.40818548e-06
 41.75  1.73491776e-06  1.39028286e-07  2.99857157e-06
 41.8  1.55443804e-06  5.89718834e-07  3.8179451e-06
 41.85  1.5579506e-06  5.22678648e-07  5.71915706e-06
 41.9  2.01750445e-06  3.35218565e-06  4.77701745e-06
 41.95  2.37878792e-06  4.55190881e-06  5.84518851e-06
 42  1.19808827e-06  5.39503265e-07  1.05349348e-06
 42.05  1.07668236e-06  3.8566366e-06  4.41342303e-06
 42.1  9.44821658e-07  4.23635875e-06  4.85901243e-06
 42.15  1.07537135e-06  4.04375572e-06  4.61917233e-06
 42.2  1.21084861e-06  4.41200119e-06  5.28722014e-06
 42.25  2.3431793e-06  3.33619942e-06  8.31321121e-06
 42.3  1.26365226e-06  4.67241816e-06  5.12686221e-06
 42.35  4.9597899e-06  1.34631569e-05  2.06166932e-05
 42.4  1.2866486e-06  6.01157109e-06  6.71799314e-06
 42.45  2.82746768e-06  1.51036915e-05  2.2378312e-05
 42.5  3.70895195e-06  1.06546743e-05  1.85255608e-05
 42.55  1.37515477e-06  1.1105786e-05  1.52513086e-05
 42.6  3.81604753e-06  1.11811237e-05  1.34136213e-05
 42.65  2.08642302e-06  1.03971218e-05  1.33362082e-05
 42.7  1.40236816e-06  5.71889924e-06  6.14284684e-06
 42.75  1.24524245e-06  1.73678098e-06  2.01666735e-06
 42.8  1.29755132e-06  1.10360446e-06  1.42939504e-06
 42.85  1.43649093e-06  2.18453312e-06  2.54034974e-06
 42.9  1.18221717e-06  2.09178824e-06  3.03744385e-06
 42.95  1.22136856e-06  1.54111426e-06  2.34897248e-06
 43  1.16553916e-06  9.28588596e-07  1.39192623e-06
 43.05  1.12366015e-06  5.94795819e-08  4.89668987e-07
 43.1  1.54705368e-06  9.35920745e-08  1.07548339e-06
 43.15  1.73662947e-06  3.32959699e-07  2.48142556e-06
 43.2  1.59753103e-06  8.19136861e-07  2.91572368e-06
 43.25  2.04887325e-06  4.53146246e-06  7.37225675e-06
 43.3  2.38105781e-06  4.66641189e-06  9.24051695e-06
 43.35  1.80700465e-06  1.64119911e-06  3.90824797e-06
 43.4  2.15199172e-06  1.98279163e-06  4.46747697e-06
 43.45  4.93966132e-06  1.70705301e-05  2.79765307e-05
 43.5  8.15155252e-06  3.68192962e-05  5.60507637e-05
 43.55  5.56434372e-06  1.31150527e-05  2.22170843e-05
 43.6  2.47785006e-06  1.30546408e-05  1.38981381e-05
 43.65  2.72662416e-06  2.64387435e-05  2.77395798e-05
 43.7  6.17151953e-06  1.85463284e-05  4.08263017e-05
 43.75  1.07913907e-05  3.91188017e-05  6.56034354e-05
 43.8  8.53119942e-06  2.55849001e-05  3.47074405e-05
 43.85  1.19111189e-05  3.85795038e-05  3.90060367e-05
 43.9  8.40361574e-06  4.1317636e-05  5.11805474e-05
 43.95  6.27673621e-06  5.2647528e-06  6.66132654e-06
 44  2.38913125e-05  5.91421352e-05  6.56319588e-05
 44.05  3.00833625e-05  1.42865067e-05  6.26088896e-05
 44.1  8.3295216e-05  4.63052277e-05  0.00015256298
 44.15  0.000109177789  0.000135516979  0.000256314648
 44.2  0.000207380555  0.000168726656  0.000381162169
 44.25  0.00122082382  0.00151755241  0.00191498361
 44.3  0.000645524935  0.00258309575  0.00243467665
 44.35  0.000533855902  0.000456249313  0.000366128158
 44.4  0.00101744682  0.00184265982  0.00170729268
 44.45  0.00118373683  0.00260186013  0.00293653147
 44.5  0.00142401793  0.000852680877  0.000799083615
 44.55  0.00271763753  0.00416270187  0.005810539
 44.6  0.00290620653  0.00505152873  0.00543857652
 44.65  0.00272407011  0.00971981869  0.00920175188
 44.7  0.00222448968  0.00612764192  0.00596670999
 44.75  0.00277748173  0.00745041872  0.00657917228
 44.8  0.00286976021  0.00793160183  0.00744110308
 44.85  0.00275906936  0.00443320099  0.00495288115
 44.9  0.00388714522  0.00930711157  0.00799864959
 44.93  0.00342892671  0.00795219031  0.00821766669
