# streamwise alpha at y=0.25 z=0.35 t=0
# x(m) alpha
 33.25  nan
 33.4036446  nan
 33.5572929  1
 33.7109375  1
 33.8645821  nan
 34.0182304  1
 34.171875  1
 34.3255196  1
 34.4791679  1
 34.6328125  nan
 34.7864571  nan
 34.9401054  nan
 35.09375  nan
 35.2473946  nan
 35.4010429  1
 35.5546875  nan
 35.7083321  nan
 35.8619804  nan
 36.015625  nan
 36.1692696  nan
 36.3229179  nan
 36.4765625  1
 36.6302071  nan
 36.7838554  nan
 36.9375  nan
 37.0911446  1
 37.2447929  1
 37.3984375  nan
 37.5520821  nan
 37.7057304  nan
 37.859375  nan
 38.0130196  nan
 38.1666679  nan
 38.3203125  nan
 38.4739571  nan
 38.6276054  nan
 38.78125  nan
 38.9348946  nan
 39.0885429  nan
 39.2421875  nan
 39.3958321  nan
 39.5494804  nan
 39.703125  nan
 39.8567696  nan
 40.0104179  nan
 40.1640625  nan
 40.3177071  nan
 40.4713554  nan
 40.625  nan
 40.7786446  nan
 40.9322929  nan
 41.0859375  nan
 41.2395821  nan
 41.3932304  nan
 41.546875  nan
 41.7005196  nan
 41.8541679  nan
 42.0078125  nan
 42.1614571  nan
 42.3151054  nan
 42.46875  nan
 42.6223946  nan
 42.7760429  nan
 42.9296875  nan
 43.0833321  nan
 43.2369804  nan
 43.390625  nan
 43.5442696  nan
 43.6979179  nan
 43.8515625  nan
 44.0052071  nan
 44.1588554  nan
 44.3125  nan
 44.4661446  nan
 44.6197929  nan
 44.7734375  nan
 44.9270821  nan
 45.0807304  nan
 45.234375  nan
 45.3880196  nan
 45.5416679  nan
 45.6953125  nan
 45.8489571  nan
 46.0026054  nan
 46.15625  nan
 46.3098946  nan
 46.4635429  nan
 46.6171875  nan
 46.7708321  nan
 46.9244804  nan
 47.078125  nan
 47.2317696  nan
 47.3854179  nan
 47.5390625  nan
 47.6927071  nan
 47.8463554  nan
 48  nan
