# spanwise profile label=P1 x=20 z=0.35 t=0 n=97
# y(m) U_x U_y U_z alpha valid
 0  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.00520833349  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.010416667  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.015625  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.020833334  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.026041666  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.03125  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.0364583321  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.0416666679  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.046875  6.35431757e-13  2.44627127e-13 -6.07545318e-13  1 1
 0.0520833321  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.0572916679  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.0625  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.0677083358  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.0729166642  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.078125  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.0833333358  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.0885416642  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.09375  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.0989583358  2.79331381e-13 -1.57788523e-13  2.30220357e-13  1 1
 0.104166664  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.109375  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.114583336  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.119791664  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.125  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.130208328  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.135416672  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.140625  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.145833328  2.63920884e-13  2.94523222e-13  9.41458147e-14  1 1
 0.151041672  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.15625  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.161458328  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.166666672  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.171875  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.177083328  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.182291672  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.1875  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.192708328  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
 0.197916672  2.3721094e-13  8.2694241e-14 -3.388817e-13  1 1
