# spanwise profile label=P3 x=39 z=0.54389 t=31.6 n=97
# y(m) U_x U_y U_z alpha valid
 0 -0.38984111  1.82264557e-05  0.00808613468  1 1
 0.00520833349 -0.38984111  1.82264557e-05  0.00808613468  1 1
 0.010416667 -0.389839292  6.14483288e-05  0.00808580872  1 1
 0.015625 -0.389835238  9.84030048e-05  0.00809055846  1 1
 0.020833334 -0.389827877  0.000139439755  0.00808933657  1 1
 0.026041666 -0.389819562  0.000175875743  0.00809822325  1 1
 0.03125 -0.389808863  0.000213049367  0.00810024887  1 1
 0.0364583321 -0.389808863  0.000213049367  0.00810024887  1 1
 0.0416666679 -0.389798194  0.000250953657  0.0081120329  1 1
 0.046875 -0.389784276  0.000284175359  0.00811759196  1 1
 0.0520833321 -0.389773309  0.000317526283  0.00813109521  1 1
 0.0572916679 -0.38976267  0.000347301888  0.00814691  1 1
 0.0625 -0.389751315  0.000378684868  0.00816376228  1 1
 0.0677083358 -0.389751315  0.000378684868  0.00816376228  1 1
 0.0729166642 -0.389739782  0.000402422622  0.0081868479  1 1
 0.078125 -0.389728725  0.000423046382  0.00820928439  1 1
 0.0833333358 -0.389714837  0.000438160641  0.00823600683  1 1
 0.0885416642 -0.389701426  0.000445490208  0.00826339796  1 1
 0.09375 -0.389684021  0.000448195322  0.00828716811  1 1
 0.0989583358 -0.389684021  0.000448195322  0.00828716811  1 1
 0.104166664 -0.389668792  0.000442847231  0.00831538811  1 1
 0.109375 -0.389647782  0.000435050752  0.00833413843  1 1
 0.114583336 -0.389628112  0.00042094689  0.00835822523  1 1
 0.119791664 -0.389602929  0.000404845574  0.00836954359  1 1
 0.125 -0.389579266  0.000385296327  0.008387262  1 1
 0.130208328 -0.389579266  0.000385296327  0.008387262  1 1
 0.135416672 -0.389549702  0.000366116408  0.00839045178  1 1
 0.140625 -0.389522225  0.000344213855  0.00840098504  1 1
 0.145833328 -0.389489472  0.000323535525  0.00839736313  1 1
 0.151041672 -0.389461637  0.00030190681  0.00840567704  1 1
 0.15625 -0.389461637  0.00030190681  0.00840567704  1 1
 0.161458328 -0.389431357  0.000286381633  0.00840273965  1 1
 0.166666672 -0.389404863  0.000270177261  0.00840800349  1 1
 0.171875 -0.389373511  0.000257996784  0.00839957688  1 1
 0.177083328 -0.389346778  0.000243171264  0.00840650592  1 1
 0.182291672 -0.389320523  0.000233206621  0.0084060384  1 1
 0.1875 -0.389320523  0.000233206621  0.0084060384  1 1
 0.192708328 -0.389295638  0.000218287722  0.00841517095  1 1
 0.197916672 -0.389272988  0.000209904552  0.00841682125  1 1
 0.203125 -0.389253616  0.000189155879  0.0084318528  1 1
 0.208333328 -0.389240354  0.00017827758  0.00844040234  1 1
 0.213541672 -0.389225483  0.000158062612  0.00845830515  1 1
 0.21875 -0.389225483  0.000158062612  0.00845830515  1 1
 0.223958328 -0.389215708  0.00014279061  0.0084675625  1 1
 0.229166672 -0.38920626  0.000114200295  0.00848815031  1 1
 0.234375 -0.389202923  9.24279957e-05  0.00849877205  1 1
 0.239583328 -0.38919723  5.64385373e-05  0.00851669442  1 1
 0.244791672 -0.389197975  2.55272626e-05  0.00852198154  1 1
 0.25 -0.389197975  2.55272626e-05  0.00852198154  1 1
 0.255208343 -0.389199376 -2.21254722e-05  0.00853395462  1 1
 0.260416657 -0.389209151 -5.71383389e-05  0.00853400584  1 1
 0.265625 -0.389214993 -0.000105888605  0.00853563938  1 1
 0.270833343 -0.389227986 -0.000142811754  0.00852375478  1 1
 0.276041657 -0.389238805 -0.000192195657  0.00851484574  1 1
 0.28125 -0.389238805 -0.000192195657  0.00851484574  1 1
 0.286458343 -0.389257461 -0.000225889627  0.00849347282  1 1
 0.291666657 -0.38927266 -0.000272346311  0.0084766848  1 1
 0.296875 -0.389296383 -0.000298271276  0.00844514091  1 1
 0.302083343 -0.389314115 -0.000337388541  0.00842526369  1 1
 0.307291657 -0.389345825 -0.000357763318  0.00839048345  1 1
 0.3125 -0.389345825 -0.000357763318  0.00839048345  1 1
 0.317708343 -0.389371008 -0.000386424887  0.00837523025  1 1
 0.322916657 -0.389407218 -0.000399496726  0.00833836198  1 1
 0.328125 -0.389437199 -0.000423565827  0.00833043642  1 1
 0.333333343 -0.389478683 -0.000435358466  0.00829510577  1 1
 0.338541657 -0.389513612 -0.000458411378  0.00829403196  1 1
 0.34375 -0.389513612 -0.000458411378  0.00829403196  1 1
 0.348958343 -0.389562428 -0.000475828565  0.00825811271  1 1
 0.354166657 -0.389604151 -0.000497563684  0.00825829431  1 1
 0.359375 -0.38966009 -0.000520618749  0.0082187606  1 1
 0.364583343 -0.389710605 -0.000540898822  0.0082166791  1 1
 0.369791657 -0.389771968 -0.000566301693  0.00817077607  1 1
 0.375 -0.389771968 -0.000566301693  0.00817077607  1 1
 0.380208343 -0.389830083 -0.000581365195  0.00816346239  1 1
 0.385416657 -0.38989374 -0.000607508526  0.00810968969  1 1
 0.390625 -0.389957905 -0.00061888143  0.00809378922  1 1
 0.395833343 -0.390022784 -0.000641349121  0.00803106278  1 1
 0.401041657 -0.390088469 -0.000647339097  0.00800254662  1 1
 0.40625 -0.390088469 -0.000647339097  0.00800254662  1 1
 0.411458343 -0.390156806 -0.000662395207  0.00793536752  1 1
 0.416666657 -0.390221655 -0.000652454153  0.00789644849  1 1
 0.421875 -0.390283704 -0.000654115574  0.00782281719  1 1
 0.427083343 -0.390342981 -0.000628812704  0.00777583709  1 1
 0.432291657 -0.390397668 -0.000614466728  0.00770355295  1 1
 0.4375 -0.390397668 -0.000614466728  0.00770355295  1 1
 0.442708343 -0.390448868 -0.000571996265  0.0076546343  1 1
 0.447916657 -0.390493214 -0.000539810979  0.00758806197  1 1
 0.453125 -0.390534371 -0.000487532787  0.0075437515  1 1
 0.458333343 -0.390572786 -0.000440606091  0.00749121513  1 1
 0.463541657 -0.390604109 -0.000372559414  0.00745714735  1 1
 0.46875 -0.390604109 -0.000372559414  0.00745714735  1 1
 0.473958343 -0.390630454 -0.000316294696  0.00741840806  1 1
 0.479166657 -0.390651554 -0.000240757159  0.00739672035  1 1
 0.484375 -0.390665412 -0.000179574272  0.00737394439  1 1
 0.489583343 -0.390676886 -0.000102209895  0.00736630009  1 1
 0.494791657 -0.390680432 -3.87260334e-05  0.00735899806  1 1
 0.5 -0.390680432 -3.87260334e-05  0.00735899806  1 1
