# spanwise profile  label=P4  x=41  z=0.6  t=31.6  n=97
# y(m) U_x U_y U_z valid
 0  0.13237828  2.04488933e-05  0.0711227953 1
 0.00520833349  0.132394686  3.6225545e-05  0.0711150989 1
 0.010416667  0.132442281  6.34168755e-05  0.0710908771 1
 0.015625  0.132516921  9.28493682e-05  0.0710548162 1
 0.020833334  0.132616177  0.000120201621  0.0710083917 1
 0.026041666  0.132738158  0.000146134858  0.0709536597 1
 0.03125  0.132880405  0.000176426794  0.0708970577 1
 0.0364583321  0.133039325  0.0002045703  0.0708511099 1
 0.0416666679  0.133215368  0.000237383079  0.0708188936 1
 0.046875  0.133400872  0.000267677766  0.0708209723 1
 0.0520833321  0.133593172  0.000278152991  0.0708563849 1
 0.0572916679  0.133793041  0.000255086779  0.070914723 1
 0.0625  0.134003118  0.000202029027  0.0709881186 1
 0.0677083358  0.134220749  0.00010385405  0.0710640475 1
 0.0729166642  0.134444743 -2.33134015e-05  0.0711282492 1
 0.078125  0.134672642 -0.000175518187  0.0711800754 1
 0.0833333358  0.134902567 -0.000349625421  0.071215257 1
 0.0885416642  0.135132521 -0.000542192953  0.0712303147 1
 0.09375  0.135359764 -0.000748334802  0.0712268502 1
 0.0989583358  0.135578573 -0.000969532586  0.0711960495 1
 0.104166664  0.135786489 -0.00119845942  0.0711457506 1
 0.109375  0.135980412 -0.00143401709  0.0710751414 1
 0.114583336  0.136157408 -0.00167442008  0.0709851161 1
 0.119791664  0.136314526 -0.00191805989  0.0708769038 1
 0.125  0.13644883 -0.00216436898  0.0707506835 1
 0.130208328  0.136549935 -0.00241244701  0.0706035644 1
 0.135416672  0.136622787 -0.00266227988  0.0704391673 1
 0.140625  0.136666059 -0.00291239261  0.0702564642 1
 0.145833328  0.136679187 -0.00316180568  0.0700545684 1
 0.151041672  0.136645541 -0.00340752723  0.0698978677 1
 0.15625  0.136515647 -0.00364204706  0.0699812174 1
 0.161458328  0.136431426 -0.00392897846  0.0704132617 1
 0.166666672  0.13670212 -0.0041778856  0.0707580373 1
 0.171875  nan  nan  nan 0
 0.177083328  nan  nan  nan 0
 0.182291672  nan  nan  nan 0
 0.1875  nan  nan  nan 0
 0.192708328  nan  nan  nan 0
 0.197916672  nan  nan  nan 0
 0.203125  nan  nan  nan 0
 0.208333328  nan  nan  nan 0
 0.213541672  nan  nan  nan 0
 0.21875  nan  nan  nan 0
 0.223958328  nan  nan  nan 0
 0.229166672  nan  nan  nan 0
 0.234375  nan  nan  nan 0
 0.239583328  0.136052713 -0.00587772951  0.0633386746 1
 0.244791672  0.135965779 -0.00577147491  0.0622079335 1
 0.25  0.135935217 -0.00565844588  0.0611820966 1
 0.255208343  0.136017546 -0.00553957187  0.0604077764 1
 0.260416657  0.136129811 -0.00538934115  0.0597210899 1
 0.265625  0.136242673 -0.0052000829  0.05908015 1
 0.270833343  0.136342317 -0.00497154007  0.0584786087 1
 0.276041657  0.136422887 -0.00470811222  0.057927683 1
 0.28125  0.136478692 -0.0044160895  0.0574382208 1
 0.286458343  0.136497021 -0.00410353253  0.0570375137 1
 0.291666657  0.136480823 -0.00378837623  0.0567141771 1
 0.296875  0.13642852 -0.00348199252  0.0564668812 1
 0.302083343  0.136339724 -0.0031941128  0.0562923402 1
 0.307291657  0.136214986 -0.00293343095  0.0561850481 1
 0.3125  0.13605541 -0.00270820153  0.0561370179 1
 0.317708343  0.135858402 -0.00253396388  0.056146279 1
 0.322916657  0.135633931 -0.00240312656  0.0561877787 1
 0.328125  0.135386437 -0.00231345557  0.0562505163 1
 0.333333343  0.135119215 -0.00226166216  0.0563256033 1
 0.338541657  0.134835795 -0.00224354048  0.0564054251 1
 0.34375  0.134541154 -0.00225410773  0.0564827584 1
 0.348958343  0.134235948 -0.0022912696  0.0565517843 1
 0.354166657  0.133926049 -0.00234489678  0.0566097461 1
 0.359375  0.133613542 -0.00241044862  0.056655176 1
 0.364583343  0.133300453 -0.00248534326  0.056686759 1
 0.369791657  0.132989079 -0.00256748125  0.0567030981 1
 0.375  0.132682234 -0.00265377504  0.0567024685 1
 0.380208343  0.132383019 -0.00274386513  0.0566813499 1
 0.385416657  0.132095054 -0.00283595803  0.0566418618 1
 0.390625  0.131819487 -0.0029304882  0.0565840527 1
 0.395833343  0.131559163 -0.00302816415  0.0565057695 1
 0.401041657  0.131316975 -0.00312935584  0.0564041398 1
 0.40625  0.131094307 -0.0032334784  0.056277059 1
 0.411458343  0.130901381 -0.00334017188  0.0561112836 1
 0.416666657  0.13073504 -0.00344482157  0.0559103638 1
 0.421875  0.130598336 -0.00354278577  0.0556710511 1
 0.427083343  0.130493879 -0.00362764625  0.0553917736 1
 0.432291657  0.130424097 -0.00369158899  0.0550725013 1
 0.4375  0.130391642 -0.00372578995  0.0547146201 1
 0.442708343  0.130406812 -0.00370444846  0.0543167666 1
 0.447916657  0.130457759 -0.00362392562  0.0539004914 1
 0.453125  0.130538374 -0.00347546558  0.0534807071 1
 0.458333343  0.130640581 -0.00325477403  0.0530756377 1
 0.463541657  0.130753756 -0.00296358741  0.0527042672 1
 0.46875  0.130864307 -0.00261123455  0.052383773 1
 0.473958343  0.130958885 -0.0022060636  0.0521369614 1
 0.479166657  0.131030589 -0.00177667139  0.0519495718 1
 0.484375  0.131082624 -0.00133715989  0.0518133305 1
 0.489583343  0.131119415 -0.000893511926  0.0517197587 1
 0.494791657  0.131143302 -0.000491734711  0.0516627245 1
 0.5  0.13115114 -0.000265973329  0.0516409911 1
