# spanwise profile  label=P4  x=41  z=0.6  t=30  n=97
# y(m) U_x U_y U_z valid
 0  0.0232921485  4.99509997e-06  0.106014729 1
 0.00520833349  0.0232914668  9.32495914e-06  0.106015146 1
 0.010416667  0.0232916251  1.64320209e-05  0.106018119 1
 0.015625  0.0232922565  2.37152362e-05  0.106022723 1
 0.020833334  0.0232932698  3.01263135e-05  0.106028862 1
 0.026041666  0.0232946966  3.54029144e-05  0.106036507 1
 0.03125  0.0232965127  3.93020018e-05  0.106044888 1
 0.0364583321  0.0232988466  4.14318565e-05  0.106054686 1
 0.0416666679  0.0233020335  4.17646152e-05  0.106064282 1
 0.046875  0.0233058538  4.080695e-05  0.106073804 1
 0.0520833321  0.0233102832  3.85006606e-05  0.106083147 1
 0.0572916679  0.02331529  3.47958157e-05  0.106091984 1
 0.0625  0.0233206507  3.02238986e-05  0.106099769 1
 0.0677083358  0.0233270768  2.44894109e-05  0.106106922 1
 0.0729166642  0.0233339872  1.83190987e-05  0.106112562 1
 0.078125  0.0233413745  1.18777198e-05  0.106117308 1
 0.0833333358  0.0233490728  5.31775595e-06  0.1061211 1
 0.0885416642  0.0233569704 -1.18025503e-06  0.106123768 1
 0.09375  0.0233652424 -7.36688344e-06  0.106125608 1
 0.0989583358  0.0233735237 -1.29506043e-05  0.106126182 1
 0.104166664  0.0233816281 -1.79262024e-05  0.106126562 1
 0.109375  0.0233895872 -2.22588442e-05  0.106126375 1
 0.114583336  0.0233973525 -2.60055949e-05  0.106125899 1
 0.119791664  0.0234048646 -2.91834676e-05  0.106125407 1
 0.125  0.0234121196 -3.16374426e-05  0.10612452 1
 0.130208328  0.0234188251 -3.38500686e-05  0.106124103 1
 0.135416672  0.0234253258 -3.56793607e-05  0.106123768 1
 0.140625  0.0234314241 -3.75925847e-05  0.106123559 1
 0.145833328  0.0234371256 -3.95160096e-05  0.106123239 1
 0.151041672  0.0233564265 -4.12158442e-05  0.106103905 1
 0.15625  0.0229311362 -4.26794104e-05  0.106009632 1
 0.161458328  0.0219771378 -4.52500426e-05  0.106078319 1
 0.166666672  0.0212725624 -4.6803485e-05  0.106604606 1
 0.171875  nan  nan  nan 0
 0.177083328  nan  nan  nan 0
 0.182291672  nan  nan  nan 0
 0.1875  nan  nan  nan 0
 0.192708328  nan  nan  nan 0
 0.197916672  nan  nan  nan 0
 0.203125  nan  nan  nan 0
 0.208333328  nan  nan  nan 0
 0.213541672  nan  nan  nan 0
 0.21875  nan  nan  nan 0
 0.223958328  nan  nan  nan 0
 0.229166672  nan  nan  nan 0
 0.234375  nan  nan  nan 0
 0.239583328  0.0216655452 -3.12993288e-05  0.10653729 1
 0.244791672  0.022627119 -2.36321721e-05  0.106290087 1
 0.25  0.0232880507 -1.45722715e-05  0.106077857 1
 0.255208343  0.0234732777 -3.88158378e-06  0.106013663 1
 0.260416657  0.0235131085  7.14080397e-06  0.105997629 1
 0.265625  0.0235165991  1.86820362e-05  0.105994307 1
 0.270833343  0.0235199071  3.06137226e-05  0.105991781 1
 0.276041657  0.0235228743  4.27980849e-05  0.105990045 1
 0.28125  0.0235256162  5.53942082e-05  0.105989389 1
 0.286458343  0.0235282592  6.7799956e-05  0.105990157 1
 0.291666657  0.0235302504  8.04730662e-05  0.105991684 1
 0.296875  0.0235320162  9.30372917e-05  0.105994277 1
 0.302083343  0.0235332996  0.000105449843  0.105998032 1
 0.307291657  0.0235338658  0.000117680676  0.106003016 1
 0.3125  0.0235342085  0.000129391876  0.106009558 1
 0.317708343  0.0235340297  0.000140342832  0.106017008 1
 0.322916657  0.0235333201  0.000150625652  0.106025837 1
 0.328125  0.0235322174  0.000159887553  0.106035337 1
 0.333333343  0.0235308073  0.000168105209  0.10604579 1
 0.338541657  0.0235290807  0.000175281966  0.106057227 1
 0.34375  0.0235268995  0.000181144656  0.106068335 1
 0.348958343  0.023524357  0.000185963101  0.106080428 1
 0.354166657  0.0235213134  0.000189492042  0.106092051 1
 0.359375  0.023517862  0.000192189123  0.106103919 1
 0.364583343  0.0235139858  0.000193987027  0.106115676 1
 0.369791657  0.0235097297  0.000194850509  0.106127024 1
 0.375  0.0235053655  0.000195333283  0.106138773 1
 0.380208343  0.023500571  0.00019451548  0.106150128 1
 0.385416657  0.023495134  0.000193228669  0.106161907 1
 0.390625  0.0234893207  0.000191011073  0.106173515 1
 0.395833343  0.0234831572  0.000188046819  0.106184982 1
 0.401041657  0.0234765671  0.000184484597  0.1061965 1
 0.40625  0.0234694853  0.000179756113  0.106208101 1
 0.411458343  0.0234623328  0.000174278539  0.106219411 1
 0.416666657  0.0234548282  0.000167570688  0.106230631 1
 0.421875  0.023447277  0.000160100681  0.106241167 1
 0.427083343  0.0234396216  0.000151847169  0.106251158 1
 0.432291657  0.0234317854  0.000142657605  0.106260724 1
 0.4375  0.0234240182  0.000132606452  0.106269263 1
 0.442708343  0.0234165266  0.000122133701  0.106277063 1
 0.447916657  0.0234091431  0.000110778354  0.106283575 1
 0.453125  0.0234017856  9.95575683e-05  0.106289178 1
 0.458333343  0.0233946536  8.80328153e-05  0.106293909 1
 0.463541657  0.0233879741  7.59681716e-05  0.106297657 1
 0.46875  0.0233817752  6.49886206e-05  0.106300287 1
 0.473958343  0.023376422  5.30707621e-05  0.106302544 1
 0.479166657  0.0233720075  4.23349848e-05  0.106303535 1
 0.484375  0.023368245  3.14204153e-05  0.10630466 1
 0.489583343  0.0233654678  2.05899869e-05  0.106305361 1
 0.494791657  0.023364095  1.19764709e-05  0.106305324 1
 0.5  0.023364082  9.82826077e-06  0.106306747 1
